Time;acc_x;acc_y;acc_z;
24703;-0.034180;0.037109;1.038086;
24844;-0.035156;0.038086;1.039062;
24984;-0.032227;0.039062;1.038086;
25123;-0.034180;0.039062;1.039062;
25250;-0.035156;0.038086;1.039062;
25389;-0.034180;0.039062;1.039062;
25540;-0.034180;0.038086;1.038086;
25689;-0.034180;0.037109;1.037109;
25829;-0.034180;0.040039;1.038086;
25979;-0.033203;0.038086;1.038086;
26119;-0.033203;0.038086;1.038086;
26249;-0.034180;0.038086;1.039062;
26389;-0.034180;0.038086;1.039062;
26529;-0.035156;0.038086;1.038086;
26669;-0.033203;0.040039;1.038086;
26809;-0.033203;0.039062;1.039062;
26949;-0.033203;0.038086;1.039062;
27099;-0.034180;0.039062;1.039062;
27250;-0.035156;0.037109;1.039062;
27400;-0.035156;0.039062;1.039062;
27544;-0.033203;0.040039;1.039062;
27689;-0.035156;0.039062;1.037109;
27833;-0.034180;0.040039;1.039062;
27969;-0.033203;0.039062;1.040039;
28100;-0.033203;0.040039;1.036133;
28239;-0.034180;0.039062;1.040039;
28379;-0.034180;0.040039;1.038086;
28529;-0.034180;0.039062;1.039062;
28679;-0.034180;0.039062;1.039062;
28824;-0.034180;0.039062;1.040039;
28959;-0.035156;0.037109;1.038086;
29099;-0.035156;0.038086;1.036133;
29229;-0.034180;0.040039;1.039062;
29373;-0.034180;0.040039;1.037109;
29523;-0.034180;0.040039;1.040039;
29663;-0.033203;0.038086;1.040039;
29804;-0.035156;0.038086;1.037109;
29939;-0.035156;0.038086;1.037109;
30080;-0.035156;0.038086;1.040039;
30233;-0.034180;0.038086;1.038086;
30359;-0.035156;0.041016;1.039062;
30509;-0.034180;0.038086;1.039062;
30639;-0.036133;0.038086;1.038086;
30774;-0.034180;0.040039;1.038086;
30920;-0.033203;0.038086;1.038086;
31049;-0.034180;0.037109;1.038086;
31189;-0.034180;0.039062;1.038086;
31339;-0.034180;0.039062;1.039062;
31479;-0.034180;0.037109;1.038086;
31619;-0.035156;0.039062;1.039062;
31759;-0.034180;0.037109;1.038086;
31899;-0.035156;0.036133;1.039062;
32029;-0.035156;0.040039;1.040039;
32179;-0.033203;0.039062;1.038086;
32334;-0.034180;0.041016;1.041016;
32469;-0.033203;0.039062;1.038086;
32609;-0.036133;0.038086;1.040039;
32749;-0.035156;0.039062;1.040039;
32889;-0.033203;0.040039;1.039062;
33040;-0.034180;0.040039;1.040039;
33189;-0.034180;0.037109;1.038086;
33329;-0.032227;0.041016;1.039062;
33469;-0.034180;0.039062;1.038086;
33619;-0.036133;0.038086;1.039062;
33760;-0.034180;0.040039;1.038086;
33899;-0.033203;0.038086;1.038086;
34049;-0.034180;0.038086;1.037109;
34179;-0.034180;0.039062;1.038086;
34319;-0.034180;0.039062;1.038086;
34473;-0.036133;0.039062;1.038086;
34613;-0.033203;0.039062;1.041016;
34754;-0.035156;0.038086;1.038086;
34894;-0.033203;0.040039;1.039062;
35029;-0.034180;0.038086;1.038086;
35159;-0.034180;0.036133;1.040039;
35293;-0.036133;0.037109;1.037109;
35429;-0.033203;0.039062;1.038086;
35573;-0.035156;0.038086;1.039062;
35723;-0.035156;0.038086;1.038086;
35863;-0.034180;0.038086;1.039062;
35999;-0.034180;0.039062;1.040039;
36140;-0.035156;0.037109;1.037109;
36281;-0.033203;0.038086;1.039062;
36419;-0.034180;0.037109;1.039062;
36551;-0.035156;0.038086;1.038086;
36689;-0.035156;0.038086;1.039062;
36819;-0.034180;0.039062;1.039062;
36959;-0.035156;0.038086;1.038086;
37110;-0.035156;0.039062;1.037109;
37249;-0.035156;0.039062;1.039062;
37399;-0.034180;0.040039;1.038086;
37539;-0.033203;0.039062;1.039062;
37670;-0.034180;0.037109;1.037109;
37819;-0.034180;0.039062;1.039062;
37959;-0.035156;0.037109;1.038086;
38101;-0.033203;0.039062;1.039062;
38239;-0.033203;0.037109;1.038086;
38369;-0.034180;0.038086;1.038086;
38509;-0.034180;0.039062;1.038086;
38659;-0.035156;0.038086;1.037109;
38802;-0.032227;0.041016;1.039062;
38953;-0.035156;0.039062;1.038086;
39094;-0.033203;0.038086;1.038086;
39234;-0.035156;0.039062;1.039062;
