Time;acc_x;acc_y;acc_z;

205803;-0.034180;0.034180;1.024414;
206023;-0.034180;0.035156;1.025391;
206173;-0.034180;0.034180;1.026367;
206313;-0.035156;0.033203;1.026367;
206453;-0.033203;0.033203;1.027344;
206593;-0.035156;0.033203;1.025391;
206733;-0.034180;0.035156;1.021484;
206873;-0.034180;0.033203;1.024414;
207013;-0.033203;0.032227;1.025391;
207153;-0.035156;0.032227;1.024414;
207293;-0.033203;0.035156;1.026367;
207433;-0.034180;0.034180;1.022461;
207573;-0.034180;0.034180;1.026367;
207713;-0.034180;0.032227;1.025391;
207853;-0.034180;0.034180;1.024414;
207993;-0.034180;0.034180;1.025391;
208133;-0.033203;0.035156;1.024414;
208273;-0.034180;0.035156;1.024414;
208409;-0.035156;0.034180;1.024414;
208568;-0.035156;0.033203;1.022461;
208730;-0.032227;0.033203;1.022461;
208883;-0.033203;0.033203;1.025391;
209023;-0.034180;0.033203;1.024414;
209163;-0.032227;0.036133;1.024414;
209303;-0.036133;0.033203;1.026367;
209443;-0.034180;0.034180;1.025391;
209578;-0.033203;0.032227;1.023438;
209728;-0.034180;0.034180;1.025391;
209913;-0.034180;0.033203;1.024414;
210053;-0.033203;0.033203;1.022461;
210193;-0.034180;0.033203;1.026367;
210333;-0.034180;0.034180;1.023438;
210483;-0.034180;0.033203;1.025391;
210623;-0.034180;0.036133;1.026367;
210763;-0.034180;0.035156;1.022461;
210918;-0.033203;0.032227;1.025391;
211079;-0.034180;0.034180;1.024414;
211238;-0.035156;0.034180;1.024414;
211413;-0.034180;0.032227;1.025391;
211553;-0.034180;0.034180;1.023438;
211688;-0.034180;0.034180;1.024414;
211833;-0.036133;0.032227;1.024414;
211973;-0.033203;0.034180;1.025391;
212113;-0.034180;0.033203;1.023438;
212248;-0.034180;0.033203;1.025391;
212393;-0.033203;0.033203;1.023438;
212533;-0.034180;0.034180;1.026367;
212673;-0.034180;0.033203;1.023438;
212814;-0.034180;0.035156;1.024414;
212973;-0.034180;0.033203;1.027344;
213113;-0.035156;0.033203;1.025391;
213263;-0.033203;0.034180;1.024414;
213398;-0.035156;0.032227;1.026367;
213558;-0.034180;0.033203;1.024414;
213718;-0.034180;0.034180;1.024414;
213883;-0.034180;0.035156;1.024414;
214033;-0.034180;0.035156;1.024414;
214179;-0.034180;0.034180;1.024414;
214343;-0.033203;0.032227;1.023438;
214483;-0.033203;0.034180;1.025391;
214623;-0.033203;0.035156;1.025391;
214758;-0.034180;0.034180;1.024414;
214903;-0.034180;0.032227;1.025391;
215043;-0.033203;0.034180;1.025391;
215183;-0.033203;0.033203;1.024414;
215324;-0.034180;0.033203;1.022461;
215493;-0.034180;0.030273;1.023438;
215633;-0.034180;0.035156;1.026367;
215773;-0.035156;0.032227;1.024414;
215919;-0.035156;0.034180;1.026367;
216078;-0.035156;0.033203;1.023438;
216239;-0.034180;0.034180;1.023438;
216398;-0.033203;0.034180;1.023438;
216553;-0.036133;0.033203;1.023438;
216693;-0.033203;0.033203;1.025391;
216834;-0.033203;0.036133;1.024414;
217003;-0.034180;0.033203;1.024414;
217143;-0.033203;0.035156;1.026367;
217283;-0.035156;0.033203;1.025391;
217419;-0.033203;0.034180;1.025391;
217573;-0.035156;0.032227;1.025391;
217713;-0.033203;0.034180;1.024414;
217853;-0.033203;0.034180;1.026367;
217994;-0.033203;0.034180;1.024414;
218148;-0.037109;0.033203;1.023438;
218303;-0.036133;0.031250;1.024414;
218439;-0.034180;0.034180;1.024414;
218588;-0.033203;0.034180;1.024414;
218749;-0.034180;0.033203;1.023438;
218908;-0.034180;0.034180;1.024414;
219073;-0.034180;0.035156;1.026367;
219213;-0.035156;0.031250;1.024414;
219353;-0.034180;0.033203;1.025391;
219503;-0.033203;0.033203;1.026367;
219643;-0.034180;0.035156;1.022461;
219783;-0.033203;0.036133;1.024414;
219923;-0.035156;0.033203;1.024414;
220058;-0.035156;0.034180;1.026367;
220223;-0.035156;0.035156;1.024414;
220363;-0.034180;0.035156;1.023438;
220503;-0.035156;0.033203;1.025391;
220638;-0.034180;0.032227;1.024414;
220793;-0.033203;0.032227;1.023438;
220933;-0.032227;0.032227;1.023438;
221069;-0.034180;0.034180;1.025391;
221218;-0.035156;0.035156;1.026367;
221378;-0.035156;0.033203;1.023438;
221538;-0.035156;0.034180;1.023438;
221693;-0.036133;0.031250;1.025391;
221833;-0.033203;0.034180;1.024414;
221973;-0.032227;0.035156;1.026367;
222113;-0.032227;0.033203;1.024414;
222253;-0.034180;0.033203;1.023438;
222393;-0.034180;0.035156;1.025391;
222533;-0.034180;0.035156;1.025391;
222673;-0.034180;0.034180;1.023438;
222823;-0.035156;0.033203;1.025391;
222963;-0.034180;0.033203;1.022461;
223113;-0.034180;0.034180;1.024414;
223263;-0.034180;0.036133;1.026367;
223403;-0.034180;0.034180;1.024414;
223548;-0.035156;0.034180;1.026367;
223710;-0.035156;0.032227;1.023438;
223878;-0.034180;0.033203;1.026367;
224033;-0.034180;0.035156;1.025391;
224173;-0.034180;0.033203;1.023438;
224313;-0.034180;0.032227;1.025391;
224453;-0.033203;0.034180;1.023438;
224593;-0.033203;0.034180;1.024414;
224733;-0.035156;0.034180;1.025391;
224873;-0.035156;0.034180;1.025391;
225023;-0.034180;0.032227;1.023438;
225163;-0.033203;0.033203;1.025391;
225303;-0.034180;0.034180;1.025391;
225453;-0.033203;0.035156;1.025391;
225593;-0.033203;0.033203;1.028320;
225733;-0.033203;0.035156;1.023438;
225883;-0.034180;0.035156;1.025391;
226028;-0.033203;0.035156;1.025391;
226189;-0.034180;0.034180;1.025391;
226353;-0.034180;0.032227;1.024414;
226493;-0.034180;0.033203;1.023438;
226633;-0.035156;0.034180;1.026367;
226773;-0.036133;0.033203;1.025391;
226913;-0.033203;0.034180;1.027344;
227053;-0.033203;0.033203;1.026367;
227203;-0.033203;0.032227;1.026367;
227343;-0.035156;0.035156;1.025391;
227483;-0.033203;0.034180;1.027344;
227633;-0.034180;0.034180;1.024414;
227773;-0.034180;0.034180;1.025391;
227913;-0.035156;0.035156;1.026367;
228053;-0.034180;0.035156;1.025391;
228203;-0.034180;0.033203;1.023438;
228338;-0.034180;0.035156;1.026367;
228488;-0.034180;0.035156;1.025391;
228648;-0.035156;0.034180;1.023438;
228813;-0.034180;0.034180;1.023438;
228953;-0.033203;0.034180;1.025391;
229093;-0.033203;0.033203;1.025391;
229233;-0.032227;0.035156;1.024414;
229373;-0.035156;0.034180;1.025391;
229513;-0.034180;0.034180;1.023438;
229653;-0.034180;0.033203;1.025391;
229793;-0.034180;0.035156;1.024414;
229933;-0.034180;0.034180;1.023438;
230073;-0.033203;0.033203;1.024414;
230213;-0.034180;0.035156;1.026367;
230353;-0.034180;0.034180;1.025391;
230493;-0.033203;0.033203;1.024414;
230633;-0.034180;0.034180;1.024414;
230783;-0.034180;0.034180;1.025391;
230939;-0.034180;0.035156;1.024414;
231099;-0.035156;0.034180;1.025391;
231258;-0.033203;0.034180;1.025391;
231423;-0.036133;0.034180;1.025391;
231573;-0.034180;0.034180;1.026367;
231708;-0.035156;0.035156;1.024414;
231863;-0.035156;0.034180;1.024414;
232003;-0.034180;0.035156;1.024414;
232143;-0.033203;0.034180;1.024414;
232283;-0.034180;0.033203;1.024414;
232423;-0.034180;0.034180;1.023438;
232563;-0.033203;0.035156;1.025391;
232703;-0.034180;0.034180;1.025391;
232843;-0.035156;0.034180;1.026367;
232983;-0.034180;0.034180;1.024414;
233133;-0.035156;0.033203;1.025391;
233273;-0.034180;0.034180;1.023438;
233408;-0.034180;0.035156;1.024414;
233569;-0.034180;0.034180;1.025391;
233738;-0.035156;0.034180;1.024414;
233903;-0.035156;0.032227;1.025391;
234043;-0.034180;0.035156;1.025391;
234183;-0.035156;0.033203;1.024414;
234323;-0.035156;0.035156;1.026367;
234473;-0.033203;0.033203;1.024414;
234613;-0.035156;0.033203;1.024414;
234753;-0.035156;0.033203;1.024414;
234893;-0.035156;0.033203;1.024414;
235033;-0.034180;0.033203;1.024414;
235173;-0.034180;0.035156;1.024414;
235313;-0.035156;0.035156;1.023438;
235453;-0.034180;0.034180;1.025391;
235593;-0.034180;0.034180;1.024414;
235733;-0.034180;0.035156;1.026367;
235878;-0.034180;0.034180;1.025391;
236040;-0.034180;0.035156;1.024414;
236223;-0.034180;0.034180;1.025391;
236363;-0.034180;0.034180;1.025391;
236503;-0.033203;0.033203;1.023438;
236643;-0.034180;0.033203;1.027344;
236783;-0.034180;0.035156;1.025391;
236923;-0.034180;0.035156;1.023438;
237063;-0.034180;0.033203;1.024414;
237203;-0.034180;0.034180;1.027344;
237333;-0.034180;0.033203;1.022461;
237473;-0.034180;0.033203;1.023438;
237613;-0.034180;0.035156;1.028320;
237753;-0.034180;0.035156;1.026367;
237893;-0.033203;0.032227;1.024414;
238033;-0.034180;0.035156;1.025391;
238173;-0.034180;0.034180;1.023438;
238318;-0.034180;0.035156;1.026367;
238468;-0.036133;0.033203;1.025391;
238633;-0.035156;0.035156;1.024414;
238773;-0.034180;0.035156;1.027344;
238913;-0.034180;0.033203;1.024414;
239053;-0.034180;0.034180;1.024414;
239193;-0.034180;0.035156;1.027344;
239333;-0.034180;0.034180;1.026367;
239473;-0.033203;0.032227;1.024414;
239613;-0.034180;0.034180;1.025391;
239753;-0.035156;0.033203;1.025391;
239893;-0.034180;0.033203;1.024414;
240043;-0.034180;0.034180;1.023438;
240183;-0.034180;0.034180;1.025391;
240323;-0.035156;0.034180;1.024414;
240473;-0.035156;0.034180;1.026367;
240613;-0.034180;0.035156;1.023438;
240769;-0.035156;0.034180;1.026367;
240929;-0.035156;0.034180;1.024414;
241083;-0.035156;0.033203;1.025391;
241223;-0.033203;0.032227;1.026367;
241353;-0.035156;0.033203;1.023438;
241493;-0.035156;0.035156;1.022461;
241633;-0.036133;0.033203;1.023438;
241773;-0.033203;0.034180;1.025391;
241913;-0.034180;0.033203;1.023438;
242053;-0.034180;0.034180;1.025391;
242193;-0.036133;0.033203;1.027344;
242333;-0.034180;0.034180;1.025391;
242473;-0.033203;0.034180;1.026367;
242623;-0.034180;0.034180;1.023438;
242763;-0.034180;0.035156;1.024414;
242903;-0.034180;0.035156;1.026367;
243048;-0.034180;0.035156;1.027344;
243198;-0.033203;0.035156;1.024414;
243358;-0.034180;0.033203;1.023438;
243523;-0.034180;0.035156;1.024414;
243663;-0.035156;0.035156;1.027344;
243803;-0.034180;0.035156;1.025391;
243943;-0.035156;0.034180;1.026367;
244083;-0.034180;0.034180;1.024414;
244223;-0.034180;0.034180;1.025391;
244373;-0.033203;0.035156;1.025391;
244513;-0.033203;0.034180;1.023438;
244653;-0.034180;0.034180;1.026367;
244803;-0.033203;0.034180;1.025391;
244943;-0.033203;0.036133;1.025391;
245083;-0.034180;0.034180;1.023438;
245223;-0.033203;0.035156;1.024414;
245363;-0.036133;0.033203;1.024414;
