Time;acc_x;acc_y;acc_z;

1992;0.037109;0.025391;1.168945;
2133;0.039062;0.022461;1.186523;
2273;0.040039;0.024414;1.208984;
2413;0.043945;0.020508;1.227539;
2553;0.045898;0.019531;1.254883;
2694;0.045898;0.023438;1.274414;
2834;0.053711;0.018555;1.311523;
2973;0.053711;0.021484;1.332031;
3114;0.057617;0.019531;1.355469;
3254;0.059570;0.017578;1.375977;
3394;0.060547;0.013672;1.386719;
3534;0.059570;0.018555;1.392578;
3673;0.061523;0.017578;1.390625;
3814;0.061523;0.017578;1.387695;
3954;0.058594;0.014648;1.385742;
4093;0.061523;0.017578;1.392578;
4233;0.060547;0.015625;1.394531;
4374;0.058594;0.015625;1.381836;
4514;0.058594;0.014648;1.370117;
4660;0.057617;0.016602;1.366211;
4809;0.056641;0.014648;1.352539;
4954;0.056641;0.016602;1.350586;
5089;0.058594;0.020508;1.351562;
5230;0.056641;0.016602;1.346680;
5380;0.053711;0.021484;1.333008;
5529;0.056641;0.020508;1.326172;
5683;0.051758;0.020508;1.312500;
5819;0.051758;0.019531;1.304688;
5960;0.050781;0.016602;1.299805;
6099;0.048828;0.016602;1.288086;
6254;0.049805;0.015625;1.285156;
6394;0.046875;0.016602;1.277344;
6534;0.049805;0.018555;1.277344;
6675;0.048828;0.022461;1.279297;
6820;0.044922;0.017578;1.266602;
6974;0.047852;0.019531;1.258789;
7113;0.045898;0.014648;1.247070;
7254;0.042969;0.014648;1.236328;
7399;0.041992;0.014648;1.228516;
7549;0.042969;0.018555;1.221680;
7690;0.042969;0.013672;1.208008;
7839;0.040039;0.018555;1.193359;
7990;0.040039;0.016602;1.193359;
8119;0.040039;0.016602;1.177734;
8259;0.038086;0.018555;1.168945;
8399;0.038086;0.016602;1.154297;
8549;0.035156;0.016602;1.143555;
8681;0.036133;0.013672;1.125977;
8829;0.034180;0.018555;1.123047;
8981;0.032227;0.020508;1.121094;
9123;0.032227;0.022461;1.108398;
9264;0.030273;0.019531;1.112305;
9404;0.032227;0.017578;1.110352;
9545;0.030273;0.017578;1.102539;
9704;0.030273;0.017578;1.099609;
9843;0.031250;0.016602;1.087891;
9984;0.028320;0.017578;1.079102;
10124;0.030273;0.014648;1.064453;
10259;0.029297;0.018555;1.074219;
10404;0.027344;0.021484;1.066406;
10544;0.029297;0.017578;1.068359;
10694;0.028320;0.017578;1.063477;
10834;0.029297;0.019531;1.061523;
10971;0.026367;0.016602;1.062500;
11109;0.027344;0.020508;1.064453;
11259;0.030273;0.019531;1.060547;
11409;0.028320;0.021484;1.065430;
11549;0.027344;0.018555;1.057617;
11689;0.026367;0.014648;1.041992;
11829;0.024414;0.013672;1.018555;
11979;0.023438;0.018555;0.994141;
12124;0.020508;0.020508;0.963867;
12264;0.017578;0.015625;0.945312;
12409;0.016602;0.017578;0.938477;
12564;0.018555;0.020508;0.936523;
12704;0.018555;0.015625;0.936523;
12844;0.019531;0.021484;0.945312;
12979;0.018555;0.019531;0.946289;
13134;0.018555;0.014648;0.958984;
13273;0.019531;0.015625;0.955078;
13413;0.020508;0.019531;0.963867;
13554;0.021484;0.019531;0.971680;
13694;0.018555;0.019531;0.978516;
13833;0.020508;0.018555;0.998047;
13974;0.022461;0.020508;1.013672;
14120;0.022461;0.017578;1.012695;
14269;0.022461;0.016602;1.019531;
14419;0.024414;0.016602;1.027344;
14569;0.023438;0.017578;1.031250;
14719;0.024414;0.021484;1.033203;
14869;0.022461;0.020508;1.019531;
15009;0.022461;0.017578;1.016602;
15149;0.023438;0.017578;1.021484;
15279;0.024414;0.019531;1.022461;
15419;0.024414;0.024414;1.032227;
15564;0.021484;0.022461;1.039062;
15703;0.023438;0.016602;1.028320;
15843;0.023438;0.020508;1.026367;
15979;0.020508;0.019531;1.026367;
16119;0.023438;0.019531;1.025391;
16264;0.024414;0.022461;1.035156;
16404;0.023438;0.017578;1.043945;
16544;0.023438;0.019531;1.060547;
16684;0.026367;0.018555;1.068359;
16819;0.027344;0.016602;1.073242;
16974;0.028320;0.018555;1.086914;
17114;0.027344;0.018555;1.088867;
17264;0.028320;0.014648;1.097656;
17399;0.027344;0.011719;1.093750;
17549;0.028320;0.012695;1.098633;
17700;0.028320;0.015625;1.117188;
17849;0.029297;0.021484;1.128906;
17999;0.029297;0.017578;1.134766;
18149;0.030273;0.020508;1.147461;
18301;0.032227;0.022461;1.178711;
18439;0.034180;0.023438;1.185547;
18589;0.035156;0.022461;1.205078;
18743;0.034180;0.017578;1.212891;
18884;0.037109;0.019531;1.213867;
19024;0.038086;0.015625;1.232422;
19159;0.034180;0.016602;1.230469;
19304;0.036133;0.015625;1.240234;
19444;0.039062;0.018555;1.248047;
19584;0.037109;0.015625;1.241211;
19724;0.036133;0.015625;1.261719;
19874;0.041992;0.008789;1.267578;
20014;0.041016;0.022461;1.282227;
20150;0.045898;0.017578;1.295898;
20299;0.041992;0.014648;1.287109;
20449;0.041992;0.014648;1.291992;
20589;0.045898;0.013672;1.303711;
20719;0.043945;0.011719;1.306641;
20869;0.047852;0.017578;1.328125;
21009;0.048828;0.017578;1.329102;
21159;0.048828;0.014648;1.322266;
21314;0.048828;0.012695;1.313477;
21449;0.049805;0.015625;1.325195;
21589;0.046875;0.012695;1.319336;
21733;0.046875;0.017578;1.307617;
21874;0.044922;0.017578;1.304688;
22014;0.045898;0.018555;1.300781;
22149;0.043945;0.017578;1.287109;
22304;0.041992;0.023438;1.280273;
22444;0.038086;0.019531;1.260742;
22584;0.038086;0.019531;1.244141;
22723;0.037109;0.020508;1.222656;
22859;0.035156;0.019531;1.201172;
23004;0.030273;0.018555;1.178711;
23144;0.029297;0.021484;1.156250;
23279;0.029297;0.015625;1.123047;
23419;0.027344;0.019531;1.120117;
23570;0.026367;0.017578;1.096680;
23719;0.026367;0.019531;1.076172;
23869;0.022461;0.011719;1.069336;
24019;0.023438;0.022461;1.074219;
24169;0.023438;0.013672;1.057617;
24299;0.021484;0.019531;1.064453;
24449;0.021484;0.016602;1.075195;
24593;0.022461;0.024414;1.062500;
24734;0.016602;0.020508;1.042969;
24874;0.019531;0.026367;1.041992;
25009;0.017578;0.021484;1.042969;
25164;0.019531;0.026367;1.048828;
25304;0.018555;0.019531;1.066406;
25444;0.021484;0.022461;1.061523;
25584;0.023438;0.012695;1.078125;
25721;0.020508;0.019531;1.080078;
25864;0.019531;0.013672;1.083984;
26003;0.023438;0.017578;1.085938;
26139;0.021484;0.016602;1.095703;
26289;0.023438;0.020508;1.110352;
26439;0.026367;0.016602;1.100586;
26579;0.024414;0.018555;1.100586;
26729;0.024414;0.023438;1.100586;
26879;0.024414;0.016602;1.082031;
27019;0.024414;0.024414;1.076172;
27169;0.024414;0.026367;1.059570;
27324;0.020508;0.024414;1.053711;
27464;0.019531;0.028320;1.046875;
27604;0.017578;0.023438;1.032227;
27744;0.015625;0.032227;1.031250;
27879;0.018555;0.030273;1.026367;
28034;0.014648;0.029297;1.011719;
28174;0.015625;0.029297;1.004883;
28314;0.015625;0.030273;1.000000;
28454;0.013672;0.030273;0.981445;
28589;0.013672;0.028320;0.964844;
28744;0.011719;0.028320;0.945312;
28883;0.011719;0.032227;0.956055;
