(1370) PROCEDURE_TASK; INFO: Procedure task started
(1443) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1443) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1544) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2239) CLI; ERROR: Terminal doesn't support escape sequences
(8696) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8696) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8758) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8758) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8924) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8924) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8978) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8978) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9149) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9150) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9538) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9538) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9712) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9712) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9768) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9768) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9829) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9829) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9887) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9887) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(10058) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(10058) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(10697) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(10697) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(11076) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(11076) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(11139) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(11139) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(11956) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(11956) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12018) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12018) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12191) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12191) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12249) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12250) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12308) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12308) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12367) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12367) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12539) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12539) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12597) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12597) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12657) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12657) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12718) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12718) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12777) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12777) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(12950) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(12950) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(13008) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(13008) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(13068) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(13068) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(13129) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(13129) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(13297) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(13297) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(13358) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
