Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];
414042;-1.333374;24.375000;0.021667;3.317083;101;

414184;4.000000;24.375000;0.021667;3.317083;100;

414326;-2.666626;24.375000;0.021667;3.317083;97;

414464;0.000000;24.375000;0.021250;3.317083;97;

414607;-13.333374;24.375000;0.021667;3.317083;100;

414756;-4.000000;24.375000;0.021667;3.317083;101;

414895;-18.666626;24.375000;0.021667;3.317083;99;

415036;-13.333374;24.375000;0.021667;3.317083;100;

415173;-34.666626;24.375000;0.021667;3.317083;99;

415316;-22.666626;24.375000;0.021667;3.317083;99;

415453;-40.000000;24.375000;0.021667;3.317083;99;

415598;-34.666626;24.375000;0.021667;3.317083;100;

415746;-50.666626;24.375000;0.021667;3.317083;102;

415884;-38.666626;24.375000;0.021667;3.317083;102;

416028;-41.333374;24.375000;0.021667;3.317083;99;

416163;-36.000000;24.375000;0.081667;3.323750;98;

416315;-34.666626;24.375000;0.544583;3.442917;92;

416456;-38.666626;24.375000;0.486250;3.457500;96;

416599;-36.000000;24.375000;0.160833;3.327084;96;

416746;-48.000000;24.375000;0.147500;0.105000;96;

416895;-50.666626;24.375000;0.152083;3.345417;96;

417044;-53.333374;24.375000;0.107917;3.317917;96;

417184;-50.666626;24.375000;0.055833;3.315417;94;

417324;-49.333374;24.375000;0.022500;3.313334;94;

417468;-53.333374;24.375000;0.022083;3.312500;97;

417616;-53.333374;24.375000;0.022083;3.312083;96;

417753;-41.333374;24.375000;0.022083;3.311667;96;

417898;-38.666626;24.375000;0.022083;3.311667;96;

418044;-37.333374;24.375000;0.022500;3.311667;96;

418186;-30.666626;24.375000;0.022083;3.311667;95;

418329;-18.666626;24.375000;0.022083;3.311667;95;

418477;-21.333374;24.375000;0.120417;3.315833;96;

418616;-16.000000;24.375000;0.141250;3.317917;96;

418753;-10.666626;24.375000;0.084583;3.327917;99;

418897;-16.000000;24.375000;0.129167;3.328750;96;

419034;-16.000000;24.375000;0.153750;3.340417;95;

419183;-18.666626;24.375000;0.095000;3.311667;99;

419330;-17.333374;24.375000;0.120417;3.313750;95;

419470;-17.333374;24.375000;0.070833;3.319167;97;

