(1390176) PROCEDURE_TASK; INFO: Procedure task started
(1390326) SENSOR_CONTROLLER; ERROR: Failed to initialize VL53L0X driver
(1390434) SENSOR_TASK; ERROR: Failed to initialize Sensor controller! Exiting task...
(1390984) CLI; ERROR: Terminal doesn't support escape sequences
(1487012) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487012) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487072) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487072) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487233) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487233) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487394) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487394) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487453) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487453) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487614) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487614) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487673) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487673) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487732) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487732) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487792) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487792) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1487852) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1487852) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488013) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488013) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488072) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488072) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488132) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488132) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488193) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488194) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488662) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488662) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488723) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488723) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488783) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488783) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1488843) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1488843) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1489003) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1489003) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1489062) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1489062) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1489122) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1489122) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
