(1932890) PROCEDURE_TASK; INFO: Procedure task started
(1933040) SENSOR_CONTROLLER; ERROR: Failed to initialize VL53L0X driver
(1933125) SENSOR_TASK; ERROR: Failed to initialize Sensor controller! Exiting task...
(1933768) CLI; ERROR: Terminal doesn't support escape sequences
(1935970) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1935970) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936128) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936128) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936187) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936187) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936348) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936348) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936507) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936508) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936667) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936667) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936726) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936726) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936786) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936786) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936846) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936846) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936907) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936907) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1936967) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1936967) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937027) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937027) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937087) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937087) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937248) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937248) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937306) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937306) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937366) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937366) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937427) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937427) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937487) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937487) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937546) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937546) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937606) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937606) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937774) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937774) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937826) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937826) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937886) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937886) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1937946) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1937946) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938006) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938006) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938067) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938067) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938126) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938126) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938186) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938186) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938247) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938247) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938307) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938308) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938367) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938367) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938427) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938427) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938487) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938487) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938547) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938547) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938606) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938606) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938767) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938767) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938826) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938826) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1938994) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1938994) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939047) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939047) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939106) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939106) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939166) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939166) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939226) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939226) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939286) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939286) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939346) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939346) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939407) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939407) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939466) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939466) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939527) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939527) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939587) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939587) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939647) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939647) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939707) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939707) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939868) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939868) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939927) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939927) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1939986) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1939986) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1940047) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1940047) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1940106) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1940106) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1940270) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1940270) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1940327) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1940327) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1940386) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1940386) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(1940446) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(1940446) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
