(269940) PROCEDURE_TASK; INFO: Procedure task started
(270013) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(270013) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(270113) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(270758) CLI; ERROR: Terminal doesn't support escape sequences
(281217) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(281217) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(281387) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(281387) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(281777) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(281777) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(281838) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(281838) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(281896) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(281897) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(281957) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(281957) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282017) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282017) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282077) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282077) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282138) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282138) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282198) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282198) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282258) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282258) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282318) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282318) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282378) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282378) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282548) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282548) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282607) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282607) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282668) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282668) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282727) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282727) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282787) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282787) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282848) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282848) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282909) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282909) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(282969) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(282969) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283027) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283028) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283088) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283088) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283261) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283261) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283317) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283318) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283493) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283493) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283549) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283549) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283607) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283608) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283668) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283668) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283727) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283727) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283787) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283787) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(283849) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(283849) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284017) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284017) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284077) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284078) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284251) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284251) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284307) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284307) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284368) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284368) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284427) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284427) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284488) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284488) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284661) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284661) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284717) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284717) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284777) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284777) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284838) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284838) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284897) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284897) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(284958) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(284959) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285018) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285019) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285078) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285078) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285137) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285138) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285198) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285198) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285257) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285258) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285318) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285318) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285378) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285378) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285438) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285438) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285499) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285499) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285557) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285557) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285726) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285727) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285789) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285789) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285847) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285847) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285908) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285908) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(285967) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(285967) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286028) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286028) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286088) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286089) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286149) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286149) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286210) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286210) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286268) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286268) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286328) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286328) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286388) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286388) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286447) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286447) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286509) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286509) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286568) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286569) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286629) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286629) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286797) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286797) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286858) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286858) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286919) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286919) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(286978) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(286978) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287038) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287038) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287099) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287099) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287159) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287159) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287219) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287219) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287278) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287278) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287338) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287338) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287400) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287401) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287458) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287458) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287518) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287518) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287578) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287578) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287638) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287638) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287697) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287698) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287758) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287758) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287818) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287818) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287878) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287878) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(287939) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(287939) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288113) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(288113) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288168) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(288168) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288228) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(288228) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288289) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(288289) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288350) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(288350) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288408) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(288408) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(288468) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
