(1420) PROCEDURE_TASK; INFO: Procedure task started
(1494) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1494) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1594) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2279) CLI; ERROR: Terminal doesn't support escape sequences
(21827) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(21827) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22115) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22115) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22170) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22170) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22229) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22229) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22288) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22288) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22348) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22348) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22515) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22515) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22578) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22578) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22747) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22747) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22917) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22917) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(22979) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(22979) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23039) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23039) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23207) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23207) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23375) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23375) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23550) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23550) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23609) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23610) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23777) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23777) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23839) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23839) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23899) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23899) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(23961) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(23961) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(24131) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(24131) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
