(306976) PROCEDURE_TASK; INFO: Procedure task started
(306977) MACUS; INFO: Sync received: 0, expected: 1
(306977) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(307049) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(307049) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(307149) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(307924) CLI; ERROR: Terminal doesn't support escape sequences
(307974) MACUS; INFO: Sync received: 0, expected: 1
(307974) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(308974) MACUS; INFO: Sync received: 0, expected: 1
(308974) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(309974) MACUS; INFO: Sync received: 0, expected: 1
(309974) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(310993) MACUS; INFO: Sync received: 0, expected: 1
(310993) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(311984) MACUS; INFO: Sync received: 0, expected: 1
(311984) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(313185) MACUS; INFO: Sync received: 0, expected: 1
(313185) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(314184) MACUS; INFO: Sync received: 0, expected: 1
(314184) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(315184) MACUS; INFO: Sync received: 0, expected: 1
(315184) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(316260) MACUS; INFO: Sync received: 0, expected: 1
(316261) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(317301) MACUS; INFO: Sync received: 0, expected: 1
(317301) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(318294) MACUS; INFO: Sync received: 0, expected: 1
(318294) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(319372) MACUS; INFO: Sync received: 0, expected: 1
(319372) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(320177) CMD_PROCEDURE; INFO: Sending stop notification to procedure task
(320364) MACUS; INFO: Sync received: 0, expected: 1
(320364) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(321377) MACUS; INFO: Sync received: 0, expected: 1
(321377) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(322374) MACUS; INFO: Sync received: 0, expected: 1
(322374) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(323457) MACUS; INFO: Sync received: 0, expected: 1
(323457) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(324454) MACUS; INFO: Sync received: 0, expected: 1
(324454) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(325510) MACUS; INFO: Sync received: 0, expected: 1
(325510) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(326504) MACUS; INFO: Sync received: 0, expected: 1
(326504) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(327560) MACUS; INFO: Sync received: 0, expected: 1
(327560) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(328578) MACUS; INFO: Sync received: 0, expected: 1
(328578) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(329671) MACUS; INFO: Sync received: 0, expected: 1
(329671) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(330689) MACUS; INFO: Sync received: 0, expected: 1
(330689) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(331749) MACUS; INFO: Sync received: 0, expected: 1
(331749) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(332744) MACUS; INFO: Sync received: 0, expected: 1
(332744) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(333744) MACUS; INFO: Sync received: 0, expected: 1
(333744) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(334786) MACUS; INFO: Sync received: 0, expected: 1
(334787) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(335784) MACUS; INFO: Sync received: 0, expected: 1
(335784) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(336784) MACUS; INFO: Sync received: 0, expected: 1
(336784) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(337784) MACUS; INFO: Sync received: 0, expected: 1
(337784) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(338784) MACUS; INFO: Sync received: 0, expected: 1
(338784) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(339784) MACUS; INFO: Sync received: 0, expected: 1
(339784) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(340784) MACUS; INFO: Sync received: 0, expected: 1
(340784) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(341800) MACUS; INFO: Sync received: 0, expected: 1
(341800) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(342832) MACUS; INFO: Sync received: 0, expected: 1
(342832) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(343824) MACUS; INFO: Sync received: 0, expected: 1
(343824) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(344824) MACUS; INFO: Sync received: 0, expected: 1
(344824) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(345874) MACUS; INFO: Sync received: 0, expected: 1
(345875) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(346874) MACUS; INFO: Sync received: 0, expected: 1
(346874) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(347874) MACUS; INFO: Sync received: 0, expected: 1
(347875) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(348988) MACUS; INFO: Sync received: 0, expected: 1
(348988) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(350080) MACUS; INFO: Sync received: 0, expected: 1
(350081) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(351074) MACUS; INFO: Sync received: 0, expected: 1
(351074) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(352074) MACUS; INFO: Sync received: 0, expected: 1
(352074) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(353074) MACUS; INFO: Sync received: 0, expected: 1
(353074) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(354154) MACUS; INFO: Sync received: 0, expected: 1
(354154) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(355250) MACUS; INFO: Sync received: 0, expected: 1
(355250) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(356438) MACUS; INFO: Sync received: 0, expected: 1
(356438) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(357434) MACUS; INFO: Sync received: 0, expected: 1
(357435) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(358434) MACUS; INFO: Sync received: 0, expected: 1
(358434) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(359434) MACUS; INFO: Sync received: 0, expected: 1
(359435) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(360434) MACUS; INFO: Sync received: 0, expected: 1
(360434) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(361508) MACUS; INFO: Sync received: 0, expected: 1
(361508) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(362556) MACUS; INFO: Sync received: 0, expected: 1
(362557) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(363554) MACUS; INFO: Sync received: 0, expected: 1
(363554) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(364622) MACUS; INFO: Sync received: 0, expected: 1
(364622) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(365624) MACUS; INFO: Sync received: 0, expected: 1
