Time;acc_x;acc_y;acc_z;

1767;0.002930;0.017578;1.086914;
1913;0.000977;0.016602;1.088867;
2053;-0.001953;0.012695;1.056641;
2193;-0.001953;0.020508;1.064453;
2333;-0.001953;0.019531;1.064453;
2473;-0.008789;0.025391;1.047852;
2613;-0.011719;0.017578;1.027344;
2753;-0.010742;0.020508;1.023438;
2893;-0.012695;0.020508;1.019531;
3033;-0.011719;0.019531;1.020508;
3173;-0.009766;0.020508;1.012695;
3313;-0.011719;0.025391;1.007812;
3453;-0.013672;0.024414;1.008789;
3593;-0.012695;0.020508;1.003906;
3733;-0.010742;0.015625;1.002930;
3873;-0.011719;0.017578;0.999023;
4013;-0.008789;0.017578;1.010742;
4153;-0.009766;0.015625;1.002930;
4293;-0.008789;0.015625;1.009766;
4441;-0.009766;0.012695;1.019531;
4589;-0.010742;0.011719;1.015625;
4719;-0.011719;0.010742;1.011719;
4869;-0.006836;0.013672;1.030273;
4999;-0.005859;0.014648;1.040039;
5133;-0.006836;0.007812;1.037109;
5273;-0.003906;0.011719;1.051758;
5413;-0.004883;0.013672;1.043945;
5549;-0.006836;0.014648;1.042969;
5703;-0.007812;0.010742;1.045898;
5843;-0.005859;0.011719;1.043945;
5993;-0.008789;0.021484;1.043945;
6133;-0.010742;0.020508;1.038086;
6273;-0.008789;0.016602;1.040039;
6423;-0.006836;0.021484;1.041016;
6563;-0.008789;0.017578;1.041016;
6703;-0.006836;0.015625;1.036133;
6853;-0.006836;0.017578;1.049805;
6993;-0.004883;0.012695;1.042969;
7129;-0.006836;0.012695;1.044922;
7279;-0.004883;0.009766;1.043945;
7430;-0.005859;0.012695;1.053711;
7563;-0.008789;0.008789;1.032227;
7703;-0.006836;0.012695;1.036133;
7839;-0.011719;0.014648;1.028320;
7988;-0.010742;0.013672;1.039062;
8139;-0.007812;0.016602;1.044922;
8293;-0.009766;0.012695;1.023438;
8433;-0.007812;0.021484;1.051758;
8573;-0.009766;0.017578;1.044922;
8713;-0.004883;0.017578;1.044922;
8853;-0.004883;0.015625;1.052734;
8994;-0.005859;0.013672;1.041016;
9133;-0.005859;0.009766;1.041992;
9283;-0.006836;0.016602;1.043945;
9423;-0.007812;0.017578;1.037109;
9563;-0.008789;0.014648;1.029297;
9703;-0.009766;0.015625;1.037109;
9843;-0.009766;0.016602;1.033203;
9993;-0.005859;0.013672;1.057617;
10133;-0.006836;0.013672;1.047852;
10270;-0.006836;0.014648;1.051758;
10419;-0.005859;0.015625;1.046875;
10570;-0.006836;0.010742;1.047852;
10719;-0.005859;0.014648;1.056641;
10869;-0.008789;0.017578;1.048828;
11013;-0.007812;0.013672;1.048828;
11153;-0.005859;0.014648;1.044922;
11303;-0.008789;0.015625;1.036133;
11444;-0.008789;0.019531;1.037109;
11583;-0.006836;0.016602;1.041016;
11723;-0.010742;0.022461;1.034180;
11863;-0.006836;0.015625;1.041992;
12003;-0.006836;0.018555;1.026367;
12153;-0.007812;0.014648;1.030273;
12293;-0.006836;0.015625;1.023438;
12433;-0.006836;0.015625;1.031250;
12583;-0.005859;0.014648;1.034180;
12723;-0.010742;0.010742;1.011719;
12863;-0.007812;0.011719;1.009766;
13009;-0.012695;0.012695;1.013672;
13149;-0.012695;0.015625;1.020508;
13309;-0.010742;0.011719;1.007812;
13459;-0.009766;0.018555;1.016602;
13610;-0.007812;0.011719;1.019531;
