(361703) PROCEDURE_TASK; INFO: Procedure task started
(361776) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(361776) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(361876) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(362591) CLI; ERROR: Terminal doesn't support escape sequences
(375589) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(375589) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(375650) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(375650) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(375710) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(375710) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(375770) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(375770) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(375935) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(375935) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376097) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376097) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376160) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376160) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376329) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376330) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376391) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376391) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376560) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376560) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376620) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376620) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376681) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376681) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376742) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376742) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376801) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376801) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376860) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376860) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376921) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376921) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(376981) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(376981) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377041) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377041) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377101) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377101) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377160) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377160) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377334) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377334) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377393) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377393) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377450) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377451) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377511) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377511) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377571) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377571) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377632) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377632) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377691) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377691) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377863) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377863) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377921) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377921) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(377980) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(377980) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378148) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378148) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378319) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378320) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378380) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378380) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378442) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378442) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378501) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378501) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378561) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378561) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378619) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378619) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378680) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378680) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378740) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378740) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378799) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378800) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378861) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378861) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378920) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378921) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(378981) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(378981) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(379041) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(379041) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(379103) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(379103) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(379161) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(379162) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(379220) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
