Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

362050;-64.000000;23.000000;0.021667;3.996250;208;

362200;-56.000000;23.000000;0.021667;3.996250;210;

362347;-58.666626;23.000000;0.021667;3.996250;210;

362484;-58.666626;23.000000;0.021667;3.996250;206;

362627;-58.666626;23.000000;0.021667;3.996250;205;

362765;-58.666626;23.000000;0.021250;3.996250;204;

362908;-57.333374;23.000000;0.021667;3.996250;205;

363044;-58.666626;23.000000;0.021667;3.996250;209;

363187;-41.333374;23.000000;0.021667;3.996250;207;

363327;-50.666626;23.000000;0.021667;3.996250;208;

363464;-38.666626;23.000000;0.021250;3.996250;207;

363607;-36.000000;23.000000;0.021667;3.996250;205;

363744;-36.000000;23.000000;0.021667;3.996250;207;

363887;-32.000000;23.000000;0.021667;3.996667;205;

364025;-32.000000;23.000000;0.021667;3.991250;207;

364167;-32.000000;23.000000;0.021667;3.996250;207;

364304;-36.000000;23.000000;0.021667;3.995000;208;

364447;-32.000000;23.000000;0.021667;3.996250;207;

364589;-36.000000;23.000000;0.021667;3.994584;204;

364747;-41.333374;23.000000;0.021250;0.021250;204;

364899;-50.666626;23.000000;0.021667;3.990833;206;

365047;-57.333374;23.000000;0.021667;3.990833;203;

365185;-48.000000;23.000000;0.021667;3.991250;204;

365327;-58.666626;23.000000;0.021667;3.990833;207;

365464;-57.333374;23.000000;0.021667;3.990833;206;

365607;-66.666626;23.000000;0.021667;3.990833;206;

365756;-60.000000;23.000000;0.021250;3.990833;209;

365897;-64.000000;23.000000;0.021667;3.990833;208;

366037;-64.000000;23.000000;0.021667;3.990833;206;

366175;-58.666626;23.000000;0.021250;3.990833;204;

366317;-70.666626;23.000000;0.021667;3.990833;206;

366456;-68.000000;23.000000;0.021250;3.990833;205;

366597;-64.000000;23.000000;0.021250;3.990833;207;

366734;-58.666626;23.000000;0.021667;3.990833;206;

366878;-64.000000;23.000000;0.021250;3.990833;207;

367015;-64.000000;23.000000;0.021667;3.991250;207;

367166;-60.000000;23.000000;3.990833;3.990833;206;

367319;-64.000000;23.000000;0.021667;3.990833;207;

367466;-56.000000;23.000000;3.990833;3.990833;208;

367602;-64.000000;23.000000;0.021667;3.990833;207;

367747;-58.666626;23.000000;0.021667;3.990833;207;

367884;-64.000000;23.000000;0.021250;3.991250;204;

368027;-64.000000;23.000000;0.021667;3.988750;207;

