Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

1584;-2000.000000;22.437500;0.021667;4.017500;206;

1725;-2000.000000;22.437500;0.021667;4.017500;205;

1862;-2000.000000;22.437500;0.021667;4.017084;206;

2005;-2000.000000;22.375000;0.021667;4.017500;207;

2142;-2000.000000;22.375000;0.021667;4.017500;204;

2285;-2000.000000;22.437500;0.021667;4.017500;205;

2422;-2000.000000;22.437500;0.021667;4.017500;206;

2565;-2000.000000;22.437500;0.021250;4.017084;204;

2705;-2000.000000;22.437500;0.021667;4.017500;204;

2842;-2000.000000;22.375000;0.021667;4.017084;205;

2985;-2000.000000;22.437500;0.021667;4.017084;208;

3122;-2000.000000;22.375000;0.021667;4.015000;201;

3265;-2000.000000;22.375000;0.021667;4.013334;203;

3402;-2000.000000;22.437500;0.021667;4.012084;210;

3545;-2000.000000;22.437500;0.021667;4.012084;207;

3682;-2000.000000;22.437500;0.021667;4.017084;207;

3825;-2000.000000;22.437500;0.021667;4.017500;206;

3970;-2000.000000;22.375000;0.021250;4.017500;206;

4126;-2000.000000;22.437500;0.021667;4.017084;204;

4286;-2000.000000;22.437500;0.021250;4.016667;210;

4437;-2000.000000;22.375000;0.021667;4.013334;203;

4585;-2000.000000;22.375000;0.021667;4.012084;205;

4722;-2000.000000;22.375000;0.021667;4.012084;206;

4865;-2000.000000;22.437500;0.021667;4.012084;205;

5002;-2000.000000;22.375000;0.021667;4.012084;205;

5147;-2000.000000;22.437500;0.021667;4.012084;207;

5295;-2000.000000;22.375000;0.021667;4.012084;203;

5432;-2000.000000;22.437500;0.021667;4.012084;209;

5581;-2000.000000;22.375000;0.052917;3.810000;203;

5722;-2000.000000;22.375000;0.475833;3.847084;205;

5866;-2000.000000;22.375000;0.700417;3.831667;207;

6017;-2000.000000;22.375000;0.809167;3.821250;205;

6165;-2000.000000;22.375000;0.885000;3.815833;206;

6302;-2000.000000;22.375000;0.959583;3.805000;207;

6468;-2000.000000;22.375000;1.038333;3.800000;204;

6626;-2000.000000;22.375000;1.097083;3.794584;206;

6791;-2000.000000;22.375000;1.134583;3.790000;208;

6935;-2000.000000;22.375000;1.155833;3.789167;203;

7073;-2000.000000;22.375000;1.166667;3.789583;208;

7215;-2000.000000;22.375000;1.172083;3.789167;206;

7352;-2000.000000;22.375000;1.172083;3.789167;208;

7495;-2000.000000;22.375000;1.172083;3.789167;207;

7636;-2000.000000;22.375000;1.172083;3.789167;205;

7782;-2000.000000;22.375000;1.172083;3.789167;204;

7927;-2000.000000;22.375000;1.172083;3.789167;207;

8075;-2000.000000;22.375000;1.172083;3.789167;207;

8213;-2000.000000;22.375000;1.172083;3.790000;205;

8357;-2000.000000;22.375000;1.166667;3.793750;208;

8502;-2000.000000;22.375000;1.166667;3.794584;205;

8646;-2000.000000;22.375000;1.166667;3.794584;206;

8784;-2000.000000;22.375000;1.166667;3.794584;207;

8943;-2000.000000;22.375000;1.166667;3.794584;209;

9105;-2000.000000;22.375000;1.166667;3.794584;203;

9254;-2000.000000;22.375000;1.166667;3.794584;207;

9386;-2000.000000;22.375000;1.166667;3.794584;208;

9522;-2000.000000;22.375000;1.165000;3.794584;207;

9667;-2000.000000;22.375000;1.161250;3.794584;209;

9812;-2000.000000;22.375000;1.161250;3.794584;205;

9955;-2000.000000;22.375000;1.161250;3.794584;207;

10094;-2000.000000;22.375000;1.160000;3.794584;206;

10235;-2000.000000;22.375000;1.155833;3.795000;209;

10375;-2000.000000;22.375000;1.161667;3.797917;205;

10515;-2000.000000;22.375000;1.155833;3.800000;206;

10655;-2000.000000;22.375000;1.155833;3.799583;203;

10792;-2000.000000;22.375000;1.155833;3.799583;205;

10935;-2000.000000;22.375000;1.155833;3.799583;204;

11074;-2000.000000;22.375000;1.155833;3.800000;207;

11215;-2000.000000;22.375000;1.156250;3.800000;205;

