(1640) PROCEDURE_TASK; INFO: Procedure task started
(1714) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1714) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1814) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2469) CLI; ERROR: Terminal doesn't support escape sequences
(4715) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(4715) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(4769) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(4769) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(4943) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(4943) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(4998) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(4998) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5171) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5171) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5228) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5228) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5288) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5288) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5348) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5348) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5576) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5576) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5628) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5628) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5689) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5689) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5749) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5749) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5922) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5922) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6086) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6086) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6148) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6148) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6208) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6208) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6267) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6267) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6328) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6328) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6389) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6389) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6449) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6449) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6509) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6509) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6568) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6568) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6628) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6628) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6689) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6689) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6750) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6750) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6917) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6917) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6979) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6979) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7038) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7038) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7099) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7100) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7157) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7157) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7332) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7333) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7389) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7389) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7563) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7563) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7618) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7618) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7892) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7893) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8062) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8063) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8118) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8119) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8179) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8179) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8239) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8239) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8413) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8413) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8469) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8470) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8643) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8643) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8923) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8923) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8979) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8979) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9146) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9146) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9308) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9308) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9476) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9476) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9529) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9529) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9697) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9697) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9758) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9758) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9926) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9926) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9988) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9988) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(10049) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(10049) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(10107) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(10108) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
