(1520) PROCEDURE_TASK; INFO: Procedure task started
(1594) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1594) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1694) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2389) CLI; ERROR: Terminal doesn't support escape sequences
(114576) PROCEDURE_TASK; INFO: Procedure task received notification
(114576) PROCEDURE_TASK; INFO: Procedure loaded successfully
(114576) PROCEDURE_TASK; INFO: Setting motors in starting point before starting procedure
(116569) PROCEDURE_TASK; INFO: Motors set in starting point, starting procedure
(116569) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 80000
(117569) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(117877) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(117909) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(117959) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(118009) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(118059) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(118215) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(118249) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(118649) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(118651) MECHANICAL_CONTROLLER; ERROR: Motor 0 is in overheat shutdown state
(118652) MECHANICAL_CONTROLLER; ERROR: Motor 1 is in overheat shutdown state
(118653) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(118653) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(118679) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(118709) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(118739) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(118769) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(118799) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(118829) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(118830) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(118860) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(118889) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(118919) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
(118949) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -46666
(118979) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -58333
(119009) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -70000
(119409) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -70000
(119439) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -58333
(119469) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -46666
(119499) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
(119529) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(119559) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(119589) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(119589) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(119619) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 10000
(119649) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 19999
(119679) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 30000
(119709) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 40000
(119739) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 49999
(119863) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(120235) PROCEDURE_EXEC_HELPER; INFO: Opening valve
(120339) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(120379) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 50000
(120439) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 40000
