Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

987655;-70.666626;23.312500;0.021250;3.943334;103;

987800;-62.666626;23.312500;0.021667;3.943334;103;

987948;-58.666626;23.312500;0.021667;3.943334;105;

988088;-64.000000;23.312500;0.021250;3.943334;106;

988225;-60.000000;23.312500;0.021667;3.943334;101;

988368;-57.333374;23.312500;0.021667;3.943334;106;

988505;-58.666626;23.312500;0.021667;3.943334;105;

988648;-58.666626;23.312500;0.021667;3.943334;105;

988785;-58.666626;23.312500;0.021667;3.941667;107;

988928;-57.333374;23.312500;0.021667;3.940417;105;

989065;-48.000000;23.312500;0.021667;3.938334;104;

989208;-57.333374;23.312500;0.021250;3.937917;104;

989345;-53.333374;23.312500;0.021667;3.937917;106;

989488;-50.666626;23.312500;0.021667;3.937917;104;

989625;-57.333374;23.312500;0.021667;3.937917;104;

989768;-53.333374;23.312500;0.021667;3.937917;107;

989905;-49.333374;23.312500;0.021667;3.937917;101;

990048;-53.333374;23.312500;0.021250;3.937917;105;

990189;-50.666626;23.312500;0.021667;0.021667;104;

990344;-50.666626;23.312500;0.021667;3.937917;104;

990496;-53.333374;23.312500;0.021667;3.937917;104;

990647;-56.000000;23.312500;0.021250;3.937917;105;

990778;-53.333374;23.312500;3.937917;3.937917;105;

990918;-57.333374;23.312500;0.021667;3.937917;108;

991055;-50.666626;23.312500;0.021667;3.937917;106;

991199;-50.666626;23.312500;0.021667;3.937917;106;

991332;-58.666626;23.312500;0.021667;3.937917;104;

991478;-57.333374;23.312500;0.021667;3.937917;103;

991615;-53.333374;23.312500;0.021667;3.937917;104;

991758;-57.333374;23.312500;0.021667;3.937917;107;

991896;-50.666626;23.312500;0.021667;3.937917;103;

992038;-56.000000;23.312500;0.021667;3.937917;107;

992180;-57.333374;23.312500;0.021667;3.938334;104;

992325;-50.666626;23.312500;0.021667;3.937917;104;

992468;-57.333374;23.312500;0.021250;3.937917;105;

992607;-57.333374;23.250000;0.021667;3.938334;106;

992748;-50.666626;23.250000;0.021667;3.937917;103;

992891;-58.666626;23.312500;0.021667;3.937917;105;

993037;-56.000000;23.250000;3.937917;3.937917;105;

993170;-50.666626;23.250000;0.021667;3.937917;104;

993325;-53.333374;23.250000;0.021250;3.937917;103;

993469;-57.333374;23.250000;0.021250;3.937917;107;

993608;-50.666626;23.312500;0.021667;3.938334;105;

993745;-53.333374;23.250000;0.021667;3.937917;105;

993888;-50.666626;23.250000;0.021667;3.937917;107;

994025;-53.333374;23.250000;0.021667;3.937917;106;

994168;-58.666626;23.312500;0.021667;3.937917;106;

994305;-50.666626;23.312500;0.021667;3.937917;104;

994449;-50.666626;23.250000;0.021667;3.937917;105;

994585;-57.333374;23.250000;0.021250;3.937917;106;

994730;-50.666626;23.250000;0.021667;3.937917;102;

994875;-53.333374;23.250000;0.021667;3.935833;103;

995018;-53.333374;23.250000;0.021667;3.934167;103;

995155;-41.333374;23.250000;0.021250;3.932917;105;

995298;-53.333374;23.250000;0.021667;3.933334;105;

995438;-50.666626;23.250000;0.021667;3.933750;105;

995576;-50.666626;23.250000;0.021667;3.932917;104;

995715;-50.666626;23.250000;0.021667;3.932500;102;

995866;-48.000000;23.250000;0.021250;3.932917;104;

996028;-50.666626;23.250000;0.021667;3.933334;105;

996174;-53.333374;23.250000;0.021667;3.932500;105;

996318;-53.333374;23.250000;0.021667;3.932917;106;

996456;-50.666626;23.250000;0.021667;3.932917;105;

996598;-57.333374;23.250000;0.021250;3.932500;106;

996735;-50.666626;23.250000;0.021667;3.932500;105;

996878;-50.666626;23.250000;0.021667;3.932917;105;

997015;-58.666626;23.250000;0.021667;3.934584;105;

997158;-57.333374;23.250000;0.021667;3.937917;106;

997295;-53.333374;23.250000;0.021667;3.932500;103;

997438;-62.666626;23.250000;0.021667;3.932917;105;

997577;-58.666626;23.250000;0.021667;3.932500;104;

997718;-58.666626;23.250000;0.021667;3.935000;106;

997855;-66.666626;23.250000;0.021667;3.932500;106;

997998;-64.000000;23.250000;0.021667;3.932500;103;

998135;-60.000000;23.250000;0.021667;3.932500;104;

998280;-56.000000;23.250000;0.021667;3.932500;109;

998435;-53.333374;23.250000;0.021667;3.932500;104;

998579;-53.333374;23.250000;0.021667;3.932500;107;

998736;-50.666626;23.250000;0.021250;3.932500;105;

998890;-50.666626;23.250000;0.021667;3.932917;105;

999038;-40.000000;23.250000;0.021667;3.932500;106;

999178;-48.000000;23.250000;0.021250;3.932500;105;

999315;-38.666626;23.250000;0.021667;3.932500;104;

999458;-36.000000;23.250000;0.021667;3.932500;104;

999596;-38.666626;23.250000;0.021667;3.932500;104;

999738;-30.666626;23.250000;0.021667;3.932500;104;

999875;-38.666626;23.250000;0.021667;3.932500;105;

1000018;-36.000000;23.250000;0.021667;3.932500;105;

1000155;-30.666626;23.250000;0.021667;3.932917;105;

1000300;-36.000000;23.250000;0.021667;3.932500;104;

1000448;-36.000000;23.250000;0.021667;3.932917;101;

1000585;-34.666626;23.250000;0.021667;3.932500;106;

1000730;-48.000000;23.250000;0.021667;3.932500;106;

1000875;-45.333374;23.250000;0.021667;3.930833;105;

1001024;-38.666626;23.187500;0.021667;3.930833;107;

1001164;-41.333374;23.250000;0.021667;3.932500;108;

1001315;-50.666626;23.250000;0.021667;3.927083;105;

1001458;-49.333374;23.250000;0.021667;3.932500;105;

1001592;-57.333374;23.250000;0.021250;3.932500;103;

1001738;-53.333374;23.250000;0.021667;3.932917;107;

1001880;-48.000000;23.187500;0.021667;3.932500;104;

1002025;-57.333374;23.250000;0.021667;3.932500;104;

1002168;-53.333374;23.250000;0.021667;3.932917;105;

1002305;-50.666626;23.250000;0.021667;3.927500;105;

1002448;-50.666626;23.250000;0.021667;3.927500;106;

1002585;-48.000000;23.250000;0.021250;3.927083;106;

1002730;-50.666626;23.250000;0.021667;3.927083;106;

1002878;-57.333374;23.187500;0.021667;3.927083;104;

1003015;-49.333374;23.187500;0.021667;3.927500;105;

1003160;-53.333374;23.250000;0.021667;3.927500;105;

1003305;-50.666626;23.250000;0.021667;3.928750;105;

1003448;-50.666626;23.250000;0.021667;3.928750;106;

1003589;-53.333374;23.250000;0.021667;3.927083;103;

1003739;-53.333374;23.250000;0.021667;3.927500;107;

1003893;-49.333374;23.250000;0.021250;3.927500;104;

1004041;-56.000000;23.187500;0.021250;3.927083;105;

1004198;-50.666626;23.187500;0.021667;3.927083;105;

1004356;-50.666626;23.187500;0.021667;3.927500;107;

1004509;-50.666626;23.187500;0.021667;3.927500;105;

1004655;-60.000000;23.187500;0.021667;3.927083;105;

1004798;-57.333374;23.187500;0.021250;3.927083;104;

1004935;-50.666626;23.187500;0.021250;3.927083;106;

1005078;-57.333374;23.187500;0.021667;3.927500;105;

1005219;-56.000000;23.187500;0.021667;3.927500;107;

1005365;-56.000000;23.187500;0.021667;3.927083;105;

1005508;-58.666626;23.187500;0.021667;3.927500;104;

1005647;-50.666626;23.187500;0.021667;3.927083;106;

1005788;-56.000000;23.187500;0.021667;3.927083;106;

1005925;-50.666626;23.187500;0.021667;3.927500;104;

1006069;-50.666626;23.187500;0.021667;3.927500;105;

1006218;-57.333374;23.187500;0.021250;3.927083;105;

1006355;-56.000000;23.187500;0.021667;3.927500;106;

1006502;-48.000000;23.187500;0.021250;3.927500;105;

1006635;-58.666626;23.187500;0.021667;3.927500;105;

1006764;-56.000000;23.187500;0.021667;3.927083;104;

1006904;-53.333374;23.187500;0.021250;3.927083;107;

1007052;-50.666626;23.187500;0.021667;3.927500;104;

1007203;-50.666626;23.187500;0.021667;3.927500;107;

1007354;-48.000000;23.187500;0.021250;3.927083;107;

1007495;-50.666626;23.187500;0.021667;3.927083;105;

1007635;-50.666626;23.187500;0.021250;3.927500;105;

1007778;-50.666626;23.187500;0.021667;3.927500;105;

1007916;-50.666626;23.187500;0.021250;3.927500;106;

1008058;-41.333374;23.187500;0.021667;3.927500;105;

1008196;-50.666626;23.187500;0.021250;3.927500;108;

1008338;-53.333374;23.187500;0.021667;3.927083;103;

1008478;-41.333374;23.187500;0.021667;3.927083;104;

1008617;-53.333374;23.187500;0.021667;3.927500;105;

1008758;-56.000000;23.187500;0.021667;3.927500;105;

1008897;-48.000000;23.125000;0.021667;3.927083;105;

1009038;-53.333374;23.125000;0.021667;3.927500;105;

1009176;-50.666626;23.125000;0.021667;3.923333;105;

1009318;-49.333374;23.187500;0.021667;3.927500;106;

1009455;-57.333374;23.187500;0.021667;0.021667;106;

1009605;-41.333374;23.125000;3.922084;3.922084;106;

1009750;-41.333374;23.187500;0.021667;3.922084;104;

1009902;-50.666626;23.125000;0.021250;3.922084;105;

1010065;-48.000000;23.187500;0.021667;3.927500;105;

1010210;-38.666626;23.125000;0.021667;3.927083;106;

1010358;-38.666626;23.125000;0.021667;3.927500;104;

1010495;-38.666626;23.187500;0.021667;3.927500;107;

1010640;-41.333374;23.125000;0.021667;3.927500;103;

1010788;-48.000000;23.125000;0.021667;3.927083;103;

1010925;-38.666626;23.125000;0.021667;3.924167;103;

1011070;-41.333374;23.125000;0.021667;3.922084;105;

1011215;-48.000000;23.125000;0.021250;3.922084;106;

1011358;-41.333374;23.125000;0.021667;3.922500;105;

1011497;-38.666626;23.125000;0.021250;3.924167;106;

1011638;-38.666626;23.125000;0.021667;3.922084;107;

1011780;-37.333374;23.125000;0.021667;3.922084;106;

1011925;-36.000000;23.125000;0.021667;3.922084;106;

1012068;-41.333374;23.125000;0.021667;3.922084;106;

1012209;-36.000000;23.125000;0.021250;3.922084;109;

1012355;-48.000000;23.125000;0.021667;3.922084;105;

1012504;-36.000000;23.125000;0.021667;3.922084;103;

1012640;-38.666626;23.125000;0.021667;3.922084;107;

1012788;-38.666626;23.125000;0.021667;3.922084;106;

1012925;-48.000000;23.125000;0.021667;3.922084;104;

1013068;-36.000000;23.125000;0.021667;3.922084;104;

1013205;-48.000000;23.125000;0.021667;3.922084;107;

1013348;-34.666626;23.125000;0.021667;3.922084;106;

1013488;-34.666626;23.125000;0.021667;3.922084;106;

1013625;-41.333374;23.125000;0.021250;3.922084;105;

1013770;-37.333374;23.125000;0.021250;3.922084;106;

1013915;-37.333374;23.125000;0.021667;3.922084;105;

1014058;-41.333374;23.125000;0.021667;3.916667;109;

1014196;-34.666626;23.125000;0.021667;3.916667;103;

1014338;-36.000000;23.125000;0.021667;3.922084;105;

1014475;-38.666626;23.125000;0.021667;3.921667;105;

1014618;-30.666626;23.125000;0.021667;3.922084;106;

1014758;-48.000000;23.125000;0.021250;3.920417;105;

1014905;-48.000000;23.125000;0.021667;3.916667;106;

1015053;-34.666626;23.125000;0.021667;3.922084;104;

1015195;-48.000000;23.125000;0.021667;3.922084;105;

1015327;-38.666626;23.125000;0.021667;3.916667;106;

1015463;-42.666626;23.125000;0.021667;3.916667;104;

1015608;-48.000000;23.125000;0.021250;3.922084;104;

1015745;-48.000000;23.125000;0.021667;3.921667;103;

1015888;-50.666626;23.125000;0.021667;3.922084;106;

1016025;-50.666626;23.062500;0.021667;3.921667;104;

1016168;-50.666626;23.125000;0.021667;3.922084;105;

