(788957) PROCEDURE_TASK; INFO: Procedure task started
(789108) SENSOR_CONTROLLER; ERROR: Failed to initialize VL53L0X driver
(789186) SENSOR_TASK; ERROR: Failed to initialize Sensor controller! Exiting task...
(789886) CLI; ERROR: Terminal doesn't support escape sequences
(790046) SENSOR_CONTROLLER; ERROR: No MACUS data available
(792127) SENSOR_CONTROLLER; ERROR: No MACUS data available
(792128) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792128) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792184) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792184) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792244) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792244) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792304) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792304) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792465) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792465) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792524) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792524) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792584) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792584) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792644) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792644) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792704) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792704) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792764) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792764) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792824) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792824) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(792884) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(792884) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(793052) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(793052) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(793105) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(793105) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(793164) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
