Procedure name: method_t1
Pressurization time: 3500.0
Depressurization time: 5400.0

time [ms];velocity
0;69000
800;69000
800;0
1300;0
1600;68000
2000;68000
2200;0
2400;-70000
2800;-70000
3000;0
3200;59000
3600;59000
3900;0
4400;0
4600;-80000
5200;-80000
5400;0
