Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

1666;-2000.000000;22.750000;0.021667;3.717500;189;

1805;-2000.000000;22.750000;0.021667;3.717500;185;

1942;-2000.000000;22.750000;0.021667;3.717500;189;

2085;-2000.000000;22.750000;0.021667;3.717500;188;

2222;-2000.000000;22.750000;0.021667;3.717500;187;

2365;-2000.000000;22.750000;0.021667;3.717500;191;

2502;-2000.000000;22.750000;0.021667;3.717500;187;

2645;-2000.000000;22.750000;0.021667;3.717500;187;

2785;-2000.000000;22.750000;0.021667;3.717500;186;

2922;-2000.000000;22.750000;0.021667;3.717500;189;

3065;-2000.000000;22.750000;0.021667;3.717500;188;

3202;-2000.000000;22.750000;0.021667;3.717500;187;

3345;-2000.000000;22.750000;0.021667;3.717500;189;

3482;-2000.000000;22.750000;0.021667;3.717500;187;

3625;-2000.000000;22.750000;0.021667;3.717500;183;

3762;-2000.000000;22.750000;0.021667;3.717500;186;

3905;-2000.000000;22.750000;0.021667;3.717500;186;

4045;-2000.000000;22.750000;0.021667;3.715000;188;

4202;-2000.000000;22.750000;0.021667;3.715417;192;

4351;-2000.000000;22.750000;0.021667;3.712084;191;

4494;-2000.000000;22.750000;0.021667;3.712084;188;

4635;-2000.000000;22.750000;0.021667;3.712084;185;

4775;-2000.000000;22.750000;0.021667;3.712084;189;

4912;-2000.000000;22.750000;0.021667;3.712084;187;

5055;-2000.000000;22.750000;0.021667;3.712084;189;

5193;-2000.000000;22.750000;0.021667;3.712084;184;

5335;-2000.000000;22.750000;0.021667;3.712084;186;

5478;-2000.000000;22.750000;0.021667;3.712084;185;

5625;-2000.000000;22.750000;0.021667;0.021667;193;

5763;-2000.000000;22.750000;0.021667;3.712084;187;

5905;-2000.000000;22.750000;0.021667;3.712084;185;

6045;-2000.000000;22.750000;0.021667;3.712084;187;

6194;-2000.000000;22.687500;3.712084;3.712084;189;

6342;-2000.000000;22.750000;0.021667;3.712084;189;

6486;-2000.000000;22.750000;0.021667;3.712084;186;

6636;-2000.000000;22.750000;0.021667;3.712084;187;

6783;-2000.000000;22.750000;0.021667;3.712084;185;

6930;-2000.000000;22.687500;0.021667;3.712084;190;

