Time;acc_x;acc_y;acc_z;

2278;-0.034180;0.039062;1.038086;
2424;-0.033203;0.040039;1.040039;
2564;-0.034180;0.038086;1.038086;
2704;-0.034180;0.037109;1.039062;
2844;-0.033203;0.041016;1.038086;
2984;-0.034180;0.039062;1.037109;
3124;-0.035156;0.041016;1.033203;
3264;-0.033203;0.040039;1.037109;
3404;-0.035156;0.039062;1.039062;
3544;-0.034180;0.038086;1.038086;
3684;-0.035156;0.039062;1.040039;
3824;-0.034180;0.040039;1.038086;
3964;-0.033203;0.039062;1.041016;
4104;-0.034180;0.038086;1.040039;
4244;-0.035156;0.037109;1.040039;
4384;-0.033203;0.038086;1.039062;
4524;-0.034180;0.038086;1.037109;
4664;-0.034180;0.040039;1.039062;
4799;-0.034180;0.037109;1.041016;
4939;-0.034180;0.039062;1.041016;
5089;-0.033203;0.039062;1.040039;
5239;-0.033203;0.038086;1.039062;
5379;-0.034180;0.037109;1.039062;
5519;-0.035156;0.038086;1.039062;
5651;-0.034180;0.039062;1.040039;
5789;-0.034180;0.039062;1.041016;
5929;-0.033203;0.040039;1.040039;
6079;-0.034180;0.037109;1.038086;
6219;-0.034180;0.037109;1.037109;
6350;-0.034180;0.037109;1.041016;
6490;-0.033203;0.038086;1.038086;
6634;-0.032227;0.040039;1.039062;
6774;-0.033203;0.039062;1.041016;
6914;-0.035156;0.039062;1.038086;
7064;-0.032227;0.037109;1.038086;
7200;-0.034180;0.038086;1.039062;
7344;-0.033203;0.039062;1.038086;
7484;-0.033203;0.040039;1.041016;
7624;-0.033203;0.039062;1.040039;
7764;-0.035156;0.037109;1.037109;
7900;-0.034180;0.038086;1.038086;
8034;-0.033203;0.038086;1.039062;
8169;-0.034180;0.039062;1.038086;
8309;-0.034180;0.039062;1.038086;
8442;-0.034180;0.038086;1.040039;
8579;-0.034180;0.037109;1.039062;
8719;-0.034180;0.037109;1.040039;
8854;-0.032227;0.038086;1.040039;
8979;-0.035156;0.039062;1.040039;
9119;-0.034180;0.039062;1.039062;
9269;-0.034180;0.038086;1.038086;
9419;-0.034180;0.041016;1.039062;
9559;-0.035156;0.038086;1.039062;
9709;-0.033203;0.040039;1.040039;
9849;-0.034180;0.038086;1.038086;
9979;-0.033203;0.040039;1.039062;
10124;-0.035156;0.039062;1.040039;
