Time;acc_x;acc_y;acc_z;
269990;0.163086;0.005859;1.932617;
270141;0.157227;0.000977;1.889648;
270290;0.167969;0.003906;1.854492;
270441;0.160156;-0.007812;1.818359;
270595;0.154297;0.011719;1.817383;
270735;0.163086;0.015625;1.791016;
270875;0.155273;-0.005859;1.776367;
271015;0.159180;0.008789;1.799805;
271155;0.163086;0.014648;1.789062;
271295;0.159180;0.010742;1.786133;
271435;0.173828;0.005859;1.827148;
271575;0.164062;0.036133;1.833984;
271715;0.169922;0.022461;1.839844;
271855;0.172852;0.001953;1.833984;
271995;0.170898;-0.001953;1.861328;
272135;0.184570;0.018555;1.928711;
272275;0.172852;0.017578;1.910156;
272415;0.179688;0.019531;1.905273;
272561;0.182617;0.014648;1.887695;
272710;0.177734;0.004883;1.864258;
272870;0.179688;0.002930;1.858398;
273025;0.179688;0.012695;1.833008;
273165;0.178711;0.005859;1.817383;
273305;0.178711;0.008789;1.806641;
273445;0.178711;0.010742;1.783203;
273585;0.180664;0.011719;1.772461;
273725;0.177734;0.015625;1.749023;
273865;0.177734;0.017578;1.743164;
274005;0.180664;0.029297;1.756836;
274145;0.180664;0.028320;1.729492;
274285;0.183594;0.030273;1.738281;
274425;0.182617;0.035156;1.726562;
274565;0.183594;0.058594;1.745117;
274705;0.184570;0.041016;1.716797;
274845;0.190430;0.038086;1.731445;
274980;0.184570;0.046875;1.728516;
275130;0.191406;0.039062;1.733398;
275281;0.194336;0.031250;1.725586;
275430;0.190430;0.045898;1.723633;
275595;0.195312;0.021484;1.725586;
275745;0.201172;0.014648;1.727539;
275885;0.201172;0.004883;1.720703;
276025;0.204102;0.000000;1.722656;
276175;0.205078;-0.013672;1.726562;
276315;0.208008;-0.000977;1.738281;
276465;0.206055;-0.002930;1.731445;
276605;0.207031;-0.009766;1.730469;
276745;0.204102;-0.004883;1.713867;
276885;0.207031;0.000000;1.706055;
277025;0.199219;-0.006836;1.699219;
277165;0.198242;0.009766;1.679688;
277305;0.185547;0.013672;1.654297;
277445;0.186523;0.015625;1.641602;
277581;0.177734;0.023438;1.591797;
277740;0.161133;0.031250;1.573242;
277890;0.157227;0.031250;1.545898;
278040;0.150391;0.030273;1.514648;
278195;0.137695;0.027344;1.458984;
278335;0.125977;0.028320;1.410156;
278475;0.115234;0.027344;1.347656;
278615;0.100586;0.026367;1.254883;
278755;0.086914;0.023438;1.179688;
278895;0.071289;0.023438;1.057617;
279035;0.060547;0.023438;0.973633;
279175;0.042969;0.021484;0.851562;
279325;0.036133;0.021484;0.727539;
279465;0.027344;0.024414;0.619141;
279605;0.016602;0.019531;0.515625;
279755;0.011719;0.017578;0.439453;
279896;0.008789;0.018555;0.354492;
280055;0.005859;0.015625;0.278320;
280190;0.002930;0.017578;0.239258;
280340;0.003906;0.017578;0.213867;
280490;0.002930;0.027344;0.169922;
280650;-0.000977;0.026367;0.132812;
280785;-0.000977;0.028320;0.125977;
280925;-0.000977;0.028320;0.105469;
281065;0.000000;0.035156;0.091797;
281205;-0.000977;0.032227;0.076172;
281355;-0.001953;0.038086;0.029297;
281495;0.000000;0.037109;0.018555;
281635;-0.002930;0.031250;-0.003906;
281775;-0.001953;0.028320;-0.017578;
281916;-0.002930;0.026367;-0.023438;
282075;-0.000977;0.021484;0.005859;
282225;-0.003906;0.020508;0.007812;
282365;-0.001953;0.016602;0.000000;
282505;-0.001953;0.019531;0.017578;
282655;-0.007812;0.017578;0.011719;
282791;-0.006836;0.019531;0.023438;
282935;-0.005859;0.020508;0.031250;
283080;-0.005859;0.022461;0.042969;
283225;-0.007812;0.022461;0.043945;
283370;-0.006836;0.025391;0.057617;
283520;-0.005859;0.024414;0.052734;
283670;-0.006836;0.023438;0.049805;
283825;-0.008789;0.022461;0.051758;
283975;-0.008789;0.024414;0.044922;
284115;-0.009766;0.023438;0.042969;
284255;-0.012695;0.023438;0.043945;
284395;-0.007812;0.025391;0.043945;
284535;-0.010742;0.029297;0.043945;
284675;-0.013672;0.026367;0.049805;
284815;-0.009766;0.026367;0.049805;
284955;-0.010742;0.025391;0.042969;
285095;-0.012695;0.028320;0.025391;
285235;-0.010742;0.027344;0.025391;
285375;-0.009766;0.026367;0.033203;
285515;-0.009766;0.028320;0.031250;
285655;-0.016602;0.025391;0.023438;
285791;-0.011719;0.027344;0.024414;
285941;-0.009766;0.027344;0.025391;
286090;-0.014648;0.027344;0.021484;
286251;-0.012695;0.026367;0.015625;
286405;-0.010742;0.027344;0.023438;
286545;-0.014648;0.031250;0.018555;
286685;-0.032227;0.006836;-0.096680;
286825;-0.010742;0.032227;0.035156;
286965;-0.013672;0.033203;0.021484;
287105;-0.013672;0.031250;0.015625;
287245;-0.012695;0.032227;0.016602;
287385;-0.012695;0.031250;0.015625;
287525;-0.014648;0.032227;0.016602;
287675;-0.013672;0.033203;0.021484;
287815;-0.014648;0.034180;0.019531;
287955;-0.014648;0.032227;0.027344;
288095;-0.015625;0.032227;0.026367;
288235;-0.016602;0.033203;0.024414;
288381;-0.012695;0.035156;0.027344;
288532;-0.009766;0.029297;0.027344;
288681;-0.013672;0.033203;0.025391;
288830;-0.013672;0.032227;0.026367;
288985;-0.014648;0.034180;0.023438;
289125;-0.014648;0.030273;0.028320;
289265;-0.011719;0.032227;0.028320;
289415;-0.012695;0.032227;0.023438;
289565;-0.012695;0.031250;0.025391;
289705;-0.013672;0.029297;0.030273;
289855;-0.012695;0.034180;0.025391;
289995;-0.013672;0.035156;0.026367;
290135;-0.013672;0.033203;0.025391;
290285;-0.011719;0.034180;0.019531;
290425;-0.012695;0.035156;0.023438;
290565;-0.010742;0.032227;0.019531;
290705;-0.013672;0.031250;0.024414;
290850;-0.013672;0.030273;0.024414;
291010;-0.013672;0.032227;0.017578;
291161;-0.015625;0.030273;0.024414;
291305;-0.010742;0.029297;0.022461;
291440;-0.013672;0.027344;0.022461;
291580;-0.011719;0.030273;0.026367;
291745;-0.014648;0.026367;0.023438;
291885;-0.014648;0.026367;0.025391;
292035;-0.014648;0.028320;0.019531;
292175;-0.014648;0.022461;0.007812;
292305;-0.017578;0.024414;0.010742;
292445;-0.017578;0.028320;0.012695;
292585;-0.014648;0.027344;0.017578;
292726;-0.013672;0.024414;0.010742;
292885;-0.013672;0.025391;0.006836;
293025;-0.015625;0.024414;0.008789;
293165;-0.016602;0.024414;0.009766;
293305;-0.015625;0.025391;0.009766;
293445;-0.017578;0.021484;-0.003906;
293585;-0.015625;0.025391;0.003906;
293720;-0.012695;0.022461;0.005859;
293871;-0.010742;0.025391;-0.053711;
294020;-0.013672;0.021484;0.003906;
294171;-0.015625;0.021484;-0.000977;
294320;-0.012695;0.025391;0.011719;
294475;-0.009766;0.022461;0.001953;
294625;-0.013672;0.017578;0.004883;
294765;-0.017578;0.020508;-0.004883;
294905;-0.015625;0.014648;0.003906;
295045;-0.016602;0.018555;0.003906;
295185;-0.014648;0.014648;0.008789;
295325;-0.015625;0.016602;0.005859;
295465;-0.016602;0.014648;0.004883;
